Size,Threads,Time
1024,2,59.5525
1024,2,56.2558
1024,2,57.2778
1024,2,63.8408
1024,2,59.9502
1024,2,61.103
1024,2,55.2632
1024,2,67.2026
1024,2,67.3049
1024,2,56.552
1024,2,61.2225
1024,2,45.2936
1024,2,38.0829
1024,2,37.5985
1024,2,49.6627
1024,2,56.034
1024,2,59.5247
1024,2,59.9339
1024,2,61.2918
1024,2,66.5299
1024,4,24.8941
1024,4,33.3393
1024,4,32.5694
1024,4,26.5543
1024,4,32.9309
1024,4,33.2927
1024,4,28.0005
1024,4,34.253
1024,4,32.068
1024,4,33.4396
1024,4,33.7138
1024,4,30.0177
1024,4,33.1931
1024,4,31.918
1024,4,32.8549
1024,4,33.3549
1024,4,27.5703
1024,4,32.7178
1024,4,33.495
1024,4,29.8625
1024,8,17.0425
1024,8,16.7026
1024,8,16.8528
1024,8,15.9228
1024,8,16.7771
1024,8,15.5594
1024,8,16.8307
1024,8,16.8001
1024,8,16.1893
1024,8,16.4962
1024,8,16.5249
1024,8,16.2237
1024,8,10.4554
1024,8,16.9738
1024,8,17.1921
1024,8,16.5634
1024,8,16.7621
1024,8,15.931
1024,8,16.9334
1024,8,16.8071
1024,16,6.35359
1024,16,8.98854
1024,16,6.05275
1024,16,8.84866
1024,16,8.82252
1024,16,8.83774
1024,16,8.99349
1024,16,8.78232
1024,16,8.89867
1024,16,7.49929
1024,16,8.91793
1024,16,8.50191
1024,16,8.89623
1024,16,9.32007
1024,16,8.7137
1024,16,8.85656
1024,16,8.74523
1024,16,8.88557
1024,16,8.77395
1024,16,8.95955
