Num Workers,Time Taken
19,1.950892
19,1.959728
19,1.880641
19,1.992299
19,1.789976
19,1.972338
19,1.909435
19,1.854921
19,1.870068
19,1.931974
19,1.861935
19,1.877741
19,1.942661
19,1.749945
19,1.946031
19,1.873369
19,1.839537
20,1.790883
20,1.962806
20,1.776663
20,1.846784
20,1.723577
20,1.833784
20,1.876574
20,1.924936
20,1.821404
20,1.818986
20,1.938242
20,1.758401
20,1.913775
20,1.762548
20,1.865350
20,1.850818
20,1.870367
20,1.851847
20,2.045448
20,1.878833
21,1.745234
21,1.963331
21,1.967946
21,1.817414
21,1.719922
21,1.845466
21,1.730827
21,1.768664
21,1.762168
21,1.790264
21,1.738286
21,1.793391
21,1.719402
21,1.932142
21,1.678319
21,1.726596
21,1.561648
21,1.937682
21,1.795930
21,1.902066
22,1.796474
22,1.870430
22,1.909090
22,1.882353
22,1.942597
22,1.749446
22,1.771735
22,1.875197
22,1.755459
22,1.897587
22,1.924345
22,1.864323
22,1.960338
22,1.845486
22,1.858117
22,1.729512
22,1.687935
22,1.847949
22,1.801486
22,1.788375
23,1.855344
23,1.908699
23,1.863590
23,1.736865
23,1.805283
23,1.682586
23,1.758732
23,1.860282
23,1.763654
23,1.715065
23,1.810428
23,1.760707
23,1.815767
23,1.722462
23,1.701623
23,1.754249
23,1.765699
23,2.004218
23,1.894226
23,1.853685
24,1.938236
24,1.925059
24,1.810038
24,1.786748
24,1.848266
24,1.743519
24,1.826580
24,1.733619
24,1.776614
24,1.714961
24,1.796216
24,1.691772
24,1.689103
24,1.784103
24,1.708664
24,1.822995
24,1.790477
24,1.648397
24,1.816336
24,1.723825
25,1.857198
25,1.781371
25,1.721045
25,1.612533
25,1.635291
25,1.805392
25,1.689552
25,1.751609
25,1.918243
25,1.823212
25,1.765415
25,1.834097
25,1.705776
25,1.772448
25,1.748475
25,1.747543
25,1.777080
25,1.731999
25,1.798636
25,1.785002
26,1.871695
26,1.770950
26,1.832916
26,1.771280
26,1.839227
26,1.817539
26,1.705262
26,1.802852
26,1.716819
26,1.923819
26,1.862461
26,1.801726
26,1.811171
26,1.785860
26,1.823284
26,1.675279
26,1.702996
26,1.709508
26,1.876249
26,2.038273
27,1.730881
27,1.947373
27,1.830313
27,1.763647
27,1.668904
27,1.775853
27,1.737046
27,1.727615
27,1.796570
27,1.667200
27,1.793513
27,1.841829
27,1.771548
27,1.687301
27,1.734932
27,1.781350
27,1.719709
27,1.864030
27,1.851270
27,1.759739
28,1.799291
28,1.743888
28,1.755412
28,2.003156
28,1.748451
28,1.765791
28,1.720443
28,1.670681
28,1.869622
28,1.822408
28,1.860472
28,1.979532
28,1.734117
28,1.785474
28,1.784111
28,1.789970
28,1.690387
28,1.765126
28,1.851793
28,1.742819
29,1.650402
29,1.724976
29,1.801009
29,1.791568
29,1.990677
29,1.751990
29,1.688009
29,1.817641
29,1.760187
29,1.725994
29,1.863775
29,1.959869
29,1.669419
29,1.888415
29,1.937707
29,1.719707
29,1.874726
29,1.794740
29,1.826263
29,1.893195
30,1.857947
30,1.840065
30,1.888261
30,1.734973
30,1.853229
30,1.988347
30,1.954955
30,1.697053
30,1.847141
30,1.794397
30,1.743088
30,1.971098
30,1.833383
30,1.769363
30,1.763884
30,1.768535
30,1.850187
30,1.744041
30,1.723100
30,1.722797
31,1.880755
31,1.778488
31,1.910583
31,1.892058
31,1.790469
31,1.961557
31,1.733389
31,1.844664
31,1.765992
31,1.714981
31,1.775864
31,1.905347
31,1.791669
31,1.757895
31,1.669134
31,1.974630
31,1.674377
31,1.758702
31,1.717467
